LakeID	median.gs	median.sh	median.f
1_71_2	90.0322841001	80.7827282098	82.2328852766
1_71_1	96.3637162311	89.1837022315	87.5178516624
0_87_3	74.5254025324	74.463306751	75.3555555556
0_87_1	79.9637267415	78.868658935	78.1637432188
0_89_1	81.6691226131	78.9712214216	78.2967241053
1_99_2	83.8513329706	79.1316552604	80.0431107354
0_89_2	78.1526245624	76.3155843816	77.0196111019
0_10_2	86	89.8019891501	86.9922549518
0_10_1	102.5784313725	83.9299931366	81.2197271773
0_19_1	84.3097199341	76.728471768	74.8333333333
0_19_2	75.4407124036	73.5557341001	76.7727272727
0_19_3	82.25152207	80.2523617512	81.2892758211
0_19_4	81.5302637461	75.4034220532	74.3880729862
0_19_5	81.2939001848	74.6765288294	73.375
0_8_1	80.2255887969	78.4309214926	79.3228645729
0_8_2	87.896797153	86.6666666667	83.5149410774
1_28_1	93.6112	89.2815674891	87.3944741747
1_28_2	83.8228571429	83.1574861368	86.7915766108
1_88_1	93.4285714286	83.598782592	84.7709743428
1_88_2	83.375	81.0862302483	83.2182637183
1_88_3	91	82.3522670653	82.5638362859
1_88_4	80.0647482014	81.4497079818	85.3116855065
0_24_1	NA	NA	NA
0_24_2	NA	NA	NA
1_6_1	97.5341945289	93.2	86.8109318406
1_19_2	83.7952755906	80.4624348359	82.9768637532
1_19_1	81.625891132	77.757226491	80.160774262
1_26_1	99.949210414	97.6645098674	91.8820875998
1_25_1	77.162067964	79.4401470588	83.9597858566
1_25_2	90.7218309859	82.0909991742	82.3704672897
1_32_2	81.1556091677	77.7410886985	79.2640883978
1_32_1	93.9153318078	90.3680688337	87.1140919214
1_32_3	95.5	86.5891628744	83.6575722206
1_32_5	98.7013160404	86.4416508064	85.5665610143
1_32_6	95.5783410138	87.3709920379	87.1297531399
1_33_1	85.7357284549	81.9182861515	82.227358237
1_34_1	75.8429049914	76.7602821975	76.817715959
1_27_1	111.8328280641	107.0688417618	92.9994306909
1_27_2	109.5349431818	100.0109573241	91.3253062072
1_27_3	111.332187858	108.2716049383	95.1905275382
1_27_3B	106.5384615385	108.3125	108.3125
1_29_1	86.5255617978	84.6842989085	86.5861910145
1_29_3	85.5605214153	85.3644892286	87.3392374662
1_29_2	88.1963855422	85.9756809339	85.2854301343
1_29_4	85.6464891041	80.1545597759	82.1900074757
1_36_1	100.5375426621	96.5042723264	90.2823282968
